Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
	BEEUWKES BUNTIN	MELINDA J.		O	CB00	2013	2012	5/15/2013	8211673	FD
	BEHAN	GEORGE P.		T	WA06	2013	2013	4/3/2013	9102244	FD
	BEHRENS	CARL E.		O	LC00	2013	2012	5/17/2013	9102818	FD
	BEIDEL	BERNARD E.		O	AO00	2013	2012	5/15/2013	8211665	FD
	BEIDER	PERRY C.		A	CB00	2013	2012	5/15/2013	8211652	FD
	BEIDER	PERRY C.		O	CB00	2013	2012	5/10/2013	8211283	FD
	BEL	JENIFER M.		O	LA01	2013	2012	5/15/2013	8211667	FD
	BELAIR	BRENDAN M.		O	GA09	2013	2012	5/15/2013	8211653	FD
	BELASCO	AMY F.		O	LC00	2013	2012	5/15/2013	8211675	FD
	BELASCO	AMY F.		A	LC00	2013	2012	6/14/2013	8212308	FD
	BELGARD	AIMEE		A	NJ03	2013	2012	5/22/2014	8215280	FD
	BELGARD	AIMEE		O	NJ03	2013	2012	12/20/2013	8213709	FD
	BELL	FRANK E.		O	AO00	2013	2012	5/15/2013	8211686	FD
	BELL	FRANK E.		A	AO00	2013	2012	11/15/2013	8213497	FD
	BELL	MARK A.		O	OH12	2013	2012	5/15/2013	8211650	FD
	BELLIS	MARTIN D.		O	LG00	2013	2012	5/7/2013	8211126	FD
	BENEDETTO	KATHLEEN		A	RE00	2013	2012	4/4/2014	8214420	FD
	BENEDETTO	KATHLEEN		O	RE00	2013	2012	5/29/2013	9103111	FD
HONORABLE	BENISHEK	DAN		O	MI01	2013	2012	5/15/2013	8211968	FD
HONORABLE	BENISHEK	DAN		A	MI01	2013	2012	7/23/2013	8212628	FD
	BENJAMIN	DARREN		O	AP00	2013	2012	5/14/2013	8211548	FD
	BENJAMIN	WILLIAM C.		O	SH00	2013	2012	5/14/2013	8211549	FD
	BENNETT	GERALD E.		O	AO00	2013	2012	4/16/2013	8210785	FD
	BENNETT	GERALD E.		T	AO00	2013	2013	11/6/2013	8213395	FD
	BENNETT	MICHAEL J.		O	CB00	2013	2012	5/15/2013	8211648	FD
	BENNETT	NATHANIEL C.		O	IN07	2013	2012	5/7/2013	8211127	FD
	BENNO	ROSALINE COHEN		X	HM00	2013	2012	5/17/2013	8210576	FD
	BENNO	ROSALINE COHEN		O	HM00	2013	2012	5/30/2013	8212168	FD
	BENOIT	KIMBERLY F.		A	IG00	2013	2012	9/30/2013	8213152	FD
	BENOIT	KIMBERLY F.		O	IG00	2013	2012	5/10/2013	8211284	FD
	BENSON	MICHAEL WAYNE		O	MN01	2013	2012	8/8/2013	8212833	FD
	BENSON-WALKER	GWEN		O	DC00	2013	2012	5/1/2013	8210974	FD
HONORABLE	BENTIVOLIO	KERRY L.		A	MI11	2013	2012	9/19/2014	9105414	FD
HONORABLE	BENTIVOLIO	KERRY L.		X	MI11	2013	2012	5/22/2013	8210693	FD
HONORABLE	BENTIVOLIO	KERRY L.		O	MI11	2013	2012	8/9/2013	8212840	FD
HONORABLE	BERA	AMI		O	CA07	2013	2012	5/15/2013	8211964	FD
	BERESIK	MICHAEL T.		A	BA00	2013	2012	12/11/2013	8213641	FD
	BERESIK	MICHAEL T.		X	BA00	2013	2012	5/15/2013	8210460	FD
	BERESIK	MICHAEL T.		X	BA00	2013	2012	7/19/2013	8212650	FD
	BERESIK	MICHAEL T.		X	BA00	2013	2012	12/9/2013	8213662	FD
	BERESIK	MICHAEL T.		O	BA00	2013	2012	8/14/2013	8212969	FD
HONORABLE	BERG	RICK		X	ND00	2013	2012	11/30/2012	8209511	FD
HONORABLE	BERG	RICK		T	ND00	2013	2013	5/3/2013	8210196	FD
	BERGER	PHILIP EDWARD	JR.	O	NC06	2013	2012	1/2/2014	8213760	FD
